Date,Open,High,Low,Close,Volume,Adj Close
2016-08-25,11.10,11.10,11.10,11.10,000,10.967555
2016-08-24,11.11,11.11,11.11,11.11,000,10.977435
2016-08-23,11.11,11.11,11.11,11.11,000,10.977435
2016-08-22,11.11,11.11,11.11,11.11,000,10.977435
2016-08-19,11.09,11.09,11.09,11.09,000,10.957674
2016-08-18,11.11,11.11,11.11,11.11,000,10.977435
2016-08-17,11.10,11.10,11.10,11.10,000,10.967555
2016-08-16,11.09,11.09,11.09,11.09,000,10.957674
2016-08-15,11.09,11.09,11.09,11.09,000,10.957674
2016-08-12,11.12,11.12,11.12,11.12,000,10.987316
2016-08-11,11.09,11.09,11.09,11.09,000,10.957674
2016-08-10,11.12,11.12,11.12,11.12,000,10.987316
2016-08-09,11.11,11.11,11.11,11.11,000,10.977435
2016-08-08,11.08,11.08,11.08,11.08,000,10.947793
2016-08-05,11.07,11.07,11.07,11.07,000,10.937912
2016-08-04,11.12,11.12,11.12,11.12,000,10.987316
2016-08-03,11.09,11.09,11.09,11.09,000,10.957674
2016-08-02,11.09,11.09,11.09,11.09,000,10.957674
2016-08-01,11.12,11.12,11.12,11.12,000,10.987316
2016-07-29,11.14,11.14,11.14,11.14,000,11.007078
2016-07-28,11.11,11.11,11.11,11.11,000,10.956686
2016-07-27,11.12,11.12,11.12,11.12,000,10.966548
2016-07-26,11.08,11.08,11.08,11.08,000,10.9271
2016-07-25,11.08,11.08,11.08,11.08,000,10.9271
2016-07-22,11.09,11.09,11.09,11.09,000,10.936963
2016-07-21,11.09,11.09,11.09,11.09,000,10.936963
2016-07-20,11.08,11.08,11.08,11.08,000,10.9271
2016-07-19,11.10,11.10,11.10,11.10,000,10.946825
2016-07-18,11.08,11.08,11.08,11.08,000,10.9271
2016-07-15,11.08,11.08,11.08,11.08,000,10.9271
2016-07-14,11.11,11.11,11.11,11.11,000,10.956686
2016-07-13,11.14,11.14,11.14,11.14,000,10.986273
2016-07-12,11.11,11.11,11.11,11.11,000,10.956686
2016-07-11,11.15,11.15,11.15,11.15,000,10.996134
2016-07-08,11.18,11.18,11.18,11.18,000,11.025721
2016-07-07,11.16,11.16,11.16,11.16,000,11.005996
2016-07-06,11.16,11.16,11.16,11.16,000,11.005996
2016-07-05,11.16,11.16,11.16,11.16,000,11.005996
2016-07-01,11.12,11.12,11.12,11.12,000,10.966548
2016-06-30,11.09,11.09,11.09,11.09,000,10.936963
2016-06-29,11.07,11.07,11.07,11.07,000,10.896528
2016-06-28,11.09,11.09,11.09,11.09,000,10.916215
2016-06-27,11.09,11.09,11.09,11.09,000,10.916215
2016-06-24,11.03,11.03,11.03,11.03,000,10.857154
2016-06-23,10.96,10.96,10.96,10.96,000,10.788252
2016-06-22,10.99,10.99,10.99,10.99,000,10.817781
2016-06-21,10.98,10.98,10.98,10.98,000,10.807938
2016-06-20,10.99,10.99,10.99,10.99,000,10.817781
2016-06-17,11.02,11.02,11.02,11.02,000,10.847312
2016-06-16,11.03,11.03,11.03,11.03,000,10.857154
2016-06-15,11.03,11.03,11.03,11.03,000,10.857154
2016-06-14,11.01,11.01,11.01,11.01,000,10.837468
2016-06-13,11.02,11.02,11.02,11.02,000,10.847312
2016-06-10,11.01,11.01,11.01,11.01,000,10.837468
2016-06-09,10.99,10.99,10.99,10.99,000,10.817781
2016-06-08,10.98,10.98,10.98,10.98,000,10.807938
2016-06-07,10.97,10.97,10.97,10.97,000,10.798095
